BankModel..1 	 records 10.504809235063703 wait for 25 	 Entity..69 	 at time 267.1508519586241.
BankModel..1 	 executes Departure..82 on 25 	 Entity..69 	 at time 269.5724085408167.
BankModel..1 	 records 6.645792355606375 wait for 26 	 Entity..75 	 at time 269.5724085408167.
BankModel..1 	 executes Departure..83 on 26 	 Entity..75 	 at time 280.53766311115805.
BankModel..1 	 records 13.858245857827 wait for 27 	 Entity..77 	 at time 280.53766311115805.
BankModel..1 	 executes Arrival..81 on 28 	 Entity..80 	 at time 286.7867686021638.
BankModel..1 	 executes Departure..84 on 27 	 Entity..77 	 at time 287.30072576876216.
BankModel..1 	 records 0.5139571665983453 wait for 28 	 Entity..80 	 at time 287.30072576876216.
BankModel..1 	 executes Departure..87 on 28 	 Entity..80 	 at time 289.0928347607621.
BankModel..1 	 executes Arrival..86 on 29 	 Entity..85 	 at time 315.069534963069.
BankModel..1 	 executes Arrival..89 on 30 	 Entity..88 	 at time 316.0553722252105.
BankModel..1 	 executes Arrival..92 on 31 	 Entity..91 	 at time 325.06341663167706.
BankModel..1 	 executes Arrival..94 on 32 	 Entity..93 	 at time 326.0105661408555.
BankModel..1 	 executes Departure..90 on 29 	 Entity..85 	 at time 328.1862242130565.
BankModel..1 	 records 12.130851987846029 wait for 30 	 Entity..88 	 at time 328.1862242130565.
BankModel..1 	 executes Arrival..96 on 33 	 Entity..95 	 at time 328.5680977456832.
BankModel..1 	 executes Departure..97 on 30 	 Entity..88 	 at time 331.5994972723269.
BankModel..1 	 records 6.536080640649857 wait for 31 	 Entity..91 	 at time 331.5994972723269.
BankModel..1 	 executes Departure..100 on 31 	 Entity..91 	 at time 339.7574700541019.
BankModel..1 	 records 13.746903913246399 wait for 32 	 Entity..93 	 at time 339.7574700541019.
BankModel..1 	 executes Departure..101 on 32 	 Entity..93 	 at time 345.03206740194827.
BankModel..1 	 records 16.46396965626508 wait for 33 	 Entity..95 	 at time 345.03206740194827.
BankModel..1 	 executes Arrival..99 on 34 	 Entity..98 	 at time 346.99891152548093.
BankModel..1 	 executes Departure..102 on 33 	 Entity..95 	 at time 347.019015528241.
BankModel..1 	 records 0.0201040027600925 wait for 34 	 Entity..98 	 at time 347.019015528241.
BankModel..1 	 executes Arrival..104 on 35 	 Entity..103 	 at time 350.5382969765031.
BankModel..1 	 executes Departure..105 on 34 	 Entity..98 	 at time 363.78345797561343.
BankModel..1 	 records 13.24516099911034 wait for 35 	 Entity..103 	 at time 363.78345797561343.
BankModel..1 	 executes Arrival..107 on 36 	 Entity..106 	 at time 372.0987372729938.
BankModel..1 	 executes Departure..108 on 35 	 Entity..103 	 at time 374.87253084159056.
BankModel..1 	 records 2.7737935685967727 wait for 36 	 Entity..106 	 at time 374.87253084159056.
BankModel..1 	 executes Departure..111 on 36 	 Entity..106 	 at time 386.2077966302703.
BankModel..1 	 executes Arrival..110 on 37 	 Entity..109 	 at time 386.8412290455547.
BankModel..1 	 executes Arrival..113 on 38 	 Entity..112 	 at time 388.18702282805265.
BankModel..1 	 executes Departure..114 on 37 	 Entity..109 	 at time 401.2101335365632.
BankModel..1 	 records 13.023110708510558 wait for 38 	 Entity..112 	 at time 401.2101335365632.
BankModel..1 	 executes Departure..117 on 38 	 Entity..112 	 at time 412.81080513875213.
BankModel..1 	 executes Arrival..116 on 39 	 Entity..115 	 at time 414.23776716813836.
BankModel..1 	 executes Arrival..119 on 40 	 Entity..118 	 at time 417.170004693442.
BankModel..1 	 executes Departure..120 on 39 	 Entity..115 	 at time 428.3010574546093.
BankModel..1 	 records 11.131052761167268 wait for 40 	 Entity..118 	 at time 428.3010574546093.
BankModel..1 	 executes Departure..123 on 40 	 Entity..118 	 at time 442.7185599331176.
BankModel..1 	 executes Arrival..122 on 41 	 Entity..121 	 at time 465.84272892997825.
